@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
66666, -2.681, 22.353,  2.357, 17.796, -0.001, -0.000,  0.000,  0.001,  0.000,n
66667, -2.511, 22.521,  1.765, 11.196, -0.000,  0.000,  0.000,  0.001,  0.000,n
66670, -2.028, 18.729,  1.277,  6.548, -0.000,  0.000,  0.000,  0.001,  0.000,n
66672, -1.524, 13.963,  0.880,  3.334,  0.000,  0.000,  0.000,  0.001,  0.000,n
66673, -1.043,  9.232,  0.575,  1.379,  0.000,  0.001,  0.000,  0.001,  0.000,n
66674, -0.603,  4.944,  0.366,  0.442,  0.000,  0.001,  0.000,  0.001,  0.000,n
66675, -0.237,  1.781,  0.247,  0.148,  0.000,  0.001,  0.000,  0.001,  0.000,n
66676,  0.002,  0.351,  0.173,  0.037,  0.000,  0.002,  0.000,  0.001,  0.000,n
66677, -0.051,  0.275,  0.158,  0.036,  0.000,  0.001,  0.000,  0.001,  0.000,n
66678, -0.100,  0.204,  0.139,  0.033, -0.000,  0.001,  0.000,  0.002,  0.000,n
66679, -0.135,  0.165,  0.123,  0.031,  0.000,  0.001,  0.000,  0.002,  0.000,n
66680, -0.160,  0.140,  0.108,  0.028, -0.000,  0.001,  0.000,  0.002,  0.000,n
66681, -0.184,  0.118,  0.092,  0.025,  0.000,  0.000,  0.000,  0.002,  0.000,n
66682, -0.167,  0.116,  0.076,  0.021,  0.000,  0.000,  0.000,  0.002,  0.000,n
66683, -0.116,  0.065,  0.059,  0.016,  0.000,  0.000,  0.000,  0.002,  0.000,n
66684, -0.081,  0.039,  0.043,  0.011,  0.000,  0.000,  0.000,  0.002,  0.000,n
66685, -0.054,  0.025,  0.029,  0.007,  0.000,  0.000,  0.000,  0.002,  0.000,n
66686, -0.030,  0.012,  0.017,  0.003, -0.000,  0.001,  0.000,  0.003,  0.000,n
66687, -0.010,  0.002,  0.006,  0.001, -0.000,  0.001,  0.000,  0.003,  0.000,n
66688, -0.001,  0.000,  0.001,  0.000, -0.000,  0.004,  0.000,  0.004,  0.000,n
66689, -0.000,  0.000,  0.001,  0.000, -0.000,  0.006,  0.000,  0.005,  0.000,n
66690, -0.000,  0.000,  0.001,  0.000, -0.000,  0.008,  0.000,  0.006,  0.000,n
66692, -0.000,  0.000,  0.001,  0.000,  0.000,  0.010,  0.000,  0.007,  0.000,n
66693, -0.000,  0.000,  0.001,  0.000, -0.000,  0.011,  0.000,  0.009,  0.000,n
66694, -0.000,  0.000,  0.001,  0.000, -0.000,  0.011,  0.000,  0.010,  0.000,n
66695, -0.000,  0.000,  0.001,  0.000,  0.000,  0.012,  0.000,  0.013,  0.000,n
66696, -0.000,  0.000,  0.001,  0.000,  0.000,  0.015,  0.001,  0.016,  0.000,n
66697,  0.000,  0.000,  0.001,  0.000,  0.000,  0.018,  0.001,  0.020,  0.001,n
66698,  0.000,  0.000,  0.001,  0.000,  0.006,  0.021,  0.001,  0.023,  0.001,n
66699,  0.000,  0.000,  0.001,  0.000,  0.008,  0.023,  0.001,  0.026,  0.001,n
66700,  0.001,  0.000,  0.001,  0.000,  0.008,  0.022,  0.001,  0.028,  0.001,n
66701,  0.001,  0.000,  0.001,  0.000,  0.008,  0.018,  0.002,  0.031,  0.001,n
66702,  0.001,  0.000,  0.001,  0.000,  0.008,  0.013,  0.002,  0.033,  0.001,n
66703,  0.002,  0.000,  0.001,  0.000, -0.004,  0.009,  0.003,  0.035,  0.001,n
66704,  0.001,  0.000,  0.001,  0.000, -0.006,  0.005,  0.003,  0.038,  0.001,n
66705,  0.001,  0.000,  0.002,  0.000, -0.007,  0.002,  0.004,  0.040,  0.001,n
66706,  0.001,  0.000,  0.002,  0.000, -0.006,  0.000,  0.004,  0.040,  0.001,n
66707,  0.001,  0.000,  0.002,  0.000, -0.007,  0.001,  0.004,  0.041,  0.001,n
66708,  0.000,  0.000,  0.002,  0.000, -0.005,  0.001,  0.004,  0.041,  0.001,n
66709,  0.000,  0.000,  0.002,  0.000,  0.000,  0.001,  0.004,  0.041,  0.001,n
66710,  0.000,  0.000,  0.002,  0.000,  0.001,  0.001,  0.004,  0.041,  0.001,n
66711,  0.000,  0.000,  0.002,  0.000,  0.003,  0.001,  0.004,  0.041,  0.001,n
66712,  0.000,  0.000,  0.002,  0.000,  0.012,  0.001,  0.004,  0.041,  0.001,n
66713,  0.001,  0.000,  0.003,  0.000,  0.017,  0.000,  0.004,  0.041,  0.001,n
66714,  0.001,  0.000,  0.003,  0.000,  0.054, -0.002,  0.004,  0.040,  0.001,n
66715,  0.004,  0.000,  0.004,  0.000,  0.059, -0.004,  0.004,  0.039,  0.001,n
66716,  0.006,  0.000,  0.005,  0.000,  0.059, -0.005,  0.003,  0.039,  0.001,n
66717,  0.008,  0.000,  0.006,  0.000,  0.042, -0.005,  0.004,  0.039,  0.001,n
66718,  0.010,  0.000,  0.007,  0.000,  0.030, -0.004,  0.004,  0.039,  0.001,n
66719,  0.011,  0.000,  0.009,  0.000, -0.017,  0.011,  0.009,  0.051,  0.005,n
66720,  0.011,  0.000,  0.010,  0.000,  0.029,  0.032,  0.020,  0.068,  0.012,n
