@relation accelerometer

@attribute time numeric
@attribute averageOfVariDiffOfPrecedingWindows numeric
@attribute varianceOfVariDiffOfPrecedingWindows numeric
@attribute averageOfAverageOfPrecedingWindows numeric
@attribute varianceOfAverageOfPrecedingWindows numeric
@attribute variDiffOfCurWindow numeric
@attribute averageOfVariDiffOfSucceedingWindows numeric
@attribute varianceOfVariDiffOfSucceedingWindows numeric
@attribute averageOfAverageOfSucceedingWindows numeric
@attribute varianceOfAverageOfSucceedingWindows numeric
@attribute class {n,p,u}

@data
68513,  0.001,  0.000,  0.017,  0.000,  0.032,  0.058,  0.043,  0.059,  0.008,n
68514,  0.003,  0.000,  0.017,  0.000,  0.033,  0.116,  0.125,  0.086,  0.026,n
68515,  0.004,  0.000,  0.018,  0.000,  0.029,  0.185,  0.229,  0.119,  0.049,n
68516,  0.005,  0.000,  0.019,  0.000,  0.019,  0.268,  0.374,  0.160,  0.084,n
68517,  0.006,  0.000,  0.020,  0.000,  0.021,  0.324,  0.424,  0.203,  0.122,n
68518,  0.007,  0.000,  0.021,  0.000,  0.022,  0.358,  0.431,  0.247,  0.157,n
68519,  0.008,  0.000,  0.023,  0.000,  0.012,  0.345,  0.445,  0.290,  0.186,n
68520,  0.008,  0.000,  0.024,  0.000,  0.012,  0.313,  0.493,  0.334,  0.212,n
68521,  0.008,  0.000,  0.026,  0.000, -0.000,  0.246,  0.646,  0.377,  0.234,n
68522,  0.007,  0.000,  0.027,  0.000, -0.032,  0.168,  0.843,  0.419,  0.250,n
68523,  0.005,  0.000,  0.028,  0.000, -0.047,  0.106,  0.969,  0.455,  0.253,n
68524,  0.003,  0.001,  0.029,  0.000, -0.051,  0.054,  1.054,  0.484,  0.250,n
68525,  0.001,  0.001,  0.030,  0.000, -0.046,  0.029,  1.075,  0.504,  0.241,n
68526, -0.000,  0.001,  0.030,  0.000, -0.049,  0.072,  1.114,  0.544,  0.242,n
68527, -0.001,  0.001,  0.031,  0.000, -0.043,  0.183,  1.399,  0.598,  0.257,n
68528, -0.002,  0.001,  0.031,  0.000, -0.024,  0.307,  1.730,  0.656,  0.273,n
68529, -0.002,  0.001,  0.031,  0.000, -0.010,  0.450,  2.147,  0.726,  0.299,n
68530, -0.002,  0.001,  0.031,  0.000,  0.002,  0.625,  2.748,  0.813,  0.360,n
68531, -0.001,  0.001,  0.031,  0.000,  0.005,  0.749,  2.974,  0.928,  0.498,n
68532, -0.001,  0.001,  0.031,  0.000,  0.008,  0.826,  3.001,  1.060,  0.682,n
68533, -0.001,  0.001,  0.031,  0.000,  0.010,  0.917,  3.055,  1.216,  0.944,n
68534, -0.001,  0.001,  0.031,  0.000,  0.032,  1.030,  3.166,  1.388,  1.254,n
68535,  0.000,  0.001,  0.032,  0.000,  0.026,  1.140,  3.238,  1.591,  1.706,n
68536,  0.001,  0.001,  0.032,  0.000,  0.079,  1.193,  3.191,  1.809,  2.196,n
68537,  0.003,  0.001,  0.033,  0.000,  0.568,  1.101,  3.522,  2.040,  2.793,n
68538,  0.024,  0.014,  0.043,  0.003,  0.877,  0.940,  4.243,  2.251,  3.189,n
68539,  0.058,  0.043,  0.059,  0.008,  1.493,  0.768,  4.786,  2.443,  3.500,p
68540,  0.116,  0.125,  0.086,  0.026,  1.735,  0.561,  5.444,  2.601,  3.600,n
68541,  0.185,  0.229,  0.119,  0.049,  2.104,  0.402,  5.565,  2.703,  3.532,n
68542,  0.268,  0.374,  0.160,  0.084,  1.419,  0.273,  5.705,  2.776,  3.429,n
68543,  0.324,  0.424,  0.203,  0.122,  0.871,  0.194,  5.763,  2.838,  3.315,n
68544,  0.358,  0.431,  0.247,  0.157, -0.316,  0.108,  6.038,  2.888,  3.201,n
68545,  0.345,  0.445,  0.290,  0.186, -0.793,  0.035,  6.310,  2.931,  3.089,n
68546,  0.313,  0.493,  0.334,  0.212, -1.657,  0.057,  6.246,  2.994,  2.953,n
68547,  0.246,  0.646,  0.377,  0.234, -1.979,  0.101,  6.107,  3.052,  2.809,n
68548,  0.168,  0.843,  0.419,  0.250, -1.610,  0.154,  5.988,  3.109,  2.639,n
68549,  0.106,  0.969,  0.455,  0.253, -1.356,  0.226,  5.891,  3.167,  2.441,n
68550,  0.054,  1.054,  0.484,  0.250, -0.673,  0.287,  5.869,  3.219,  2.223,n
68551,  0.029,  1.075,  0.504,  0.241,  1.022,  0.210,  5.899,  3.241,  2.136,n
68552,  0.072,  1.114,  0.544,  0.242,  2.746,  0.050,  5.694,  3.244,  2.125,n
68553,  0.183,  1.399,  0.598,  0.257,  3.078, -0.133,  5.377,  3.236,  2.154,n
68554,  0.307,  1.730,  0.656,  0.273,  3.568, -0.345,  4.867,  3.218,  2.218,n
68555,  0.450,  2.147,  0.726,  0.299,  4.372, -0.586,  3.950,  3.181,  2.330,n
68556,  0.625,  2.748,  0.813,  0.360,  3.111, -0.779,  3.396,  3.114,  2.484,n
68557,  0.749,  2.974,  0.928,  0.498,  1.916, -0.883,  3.083,  3.007,  2.727,n
68558,  0.826,  3.001,  1.060,  0.682,  2.298, -0.991,  2.659,  2.871,  2.941,n
68559,  0.917,  3.055,  1.216,  0.944,  2.854, -1.127,  2.032,  2.712,  3.094,n
68560,  1.030,  3.166,  1.388,  1.254,  2.773, -1.252,  1.407,  2.516,  3.081,n
68561,  1.140,  3.238,  1.591,  1.706,  1.404, -1.321,  1.143,  2.303,  2.886,n
68567,  1.193,  3.191,  1.809,  2.196, -1.732, -1.260,  1.184,  2.066,  2.437,n
68568,  1.101,  3.522,  2.040,  2.793, -3.142, -1.141,  1.072,  1.845,  1.997,n
68569,  0.940,  4.243,  2.251,  3.189, -2.810, -1.034,  0.986,  1.630,  1.504,n
68570,  0.768,  4.786,  2.443,  3.500, -3.451, -0.894,  0.771,  1.440,  1.150,n
68571,  0.561,  5.444,  2.601,  3.600, -1.876, -0.815,  0.764,  1.298,  1.015,n
68572,  0.402,  5.565,  2.703,  3.532, -1.788, -0.742,  0.751,  1.180,  0.948,n
68573,  0.273,  5.705,  2.776,  3.429, -1.105, -0.698,  0.766,  1.075,  0.894,n
68574,  0.194,  5.763,  2.838,  3.315, -2.461, -0.601,  0.644,  0.981,  0.857,n
68575,  0.108,  6.038,  2.888,  3.201, -2.628, -0.498,  0.475,  0.894,  0.819,n
68576,  0.035,  6.310,  2.931,  3.089, -1.118, -0.455,  0.465,  0.788,  0.703,n
68577,  0.057,  6.246,  2.994,  2.953, -0.864, -0.423,  0.464,  0.687,  0.581,n
68578,  0.101,  6.107,  3.052,  2.809, -0.283, -0.415,  0.468,  0.595,  0.475,n
68579,  0.154,  5.988,  3.109,  2.639,  0.445, -0.434,  0.443,  0.506,  0.368,n
68580,  0.226,  5.891,  3.167,  2.441,  0.848, -0.469,  0.380,  0.434,  0.302,n
68581,  0.287,  5.869,  3.219,  2.223, -0.898, -0.434,  0.379,  0.372,  0.251,n
68582,  0.210,  5.899,  3.241,  2.136, -1.253, -0.384,  0.356,  0.314,  0.204,n
68583,  0.050,  5.694,  3.244,  2.125, -1.503, -0.325,  0.306,  0.262,  0.165,n
68584, -0.133,  5.377,  3.236,  2.154, -1.738, -0.255,  0.222,  0.211,  0.121,n
68585, -0.345,  4.867,  3.218,  2.218, -1.648, -0.189,  0.140,  0.159,  0.072,n
68586, -0.586,  3.950,  3.181,  2.330, -1.730, -0.120,  0.037,  0.111,  0.025,n
68587, -0.779,  3.396,  3.114,  2.484, -0.668, -0.093,  0.025,  0.086,  0.014,n
68588, -0.883,  3.083,  3.007,  2.727, -0.404, -0.077,  0.021,  0.067,  0.007,n
68589, -0.991,  2.659,  2.871,  2.941, -0.541, -0.056,  0.011,  0.053,  0.004,n
68590, -1.127,  2.032,  2.712,  3.094, -0.353, -0.041,  0.008,  0.045,  0.003,n
68591, -1.252,  1.407,  2.516,  3.081, -0.336, -0.028,  0.004,  0.038,  0.002,n
68592, -1.321,  1.143,  2.303,  2.886, -0.201, -0.019,  0.003,  0.034,  0.002,n
68593, -1.260,  1.184,  2.066,  2.437, -0.159, -0.011,  0.002,  0.028,  0.001,n
68594, -1.141,  1.072,  1.845,  1.997, -0.130, -0.005,  0.001,  0.023,  0.000,n
68595, -1.034,  0.986,  1.630,  1.504,  0.047, -0.006,  0.001,  0.021,  0.000,n
68596, -0.894,  0.771,  1.440,  1.150,  0.081, -0.009,  0.001,  0.020,  0.000,n
68597, -0.815,  0.764,  1.298,  1.015,  0.057, -0.012,  0.001,  0.018,  0.000,n
68598, -0.742,  0.751,  1.180,  0.948, -0.000, -0.013,  0.001,  0.017,  0.000,n
68599, -0.698,  0.766,  1.075,  0.894, -0.048, -0.012,  0.001,  0.015,  0.000,n
68600, -0.601,  0.644,  0.981,  0.857, -0.048, -0.011,  0.001,  0.014,  0.000,n
68601, -0.498,  0.475,  0.894,  0.819, -0.050, -0.009,  0.001,  0.012,  0.000,n
68602, -0.455,  0.465,  0.788,  0.703, -0.064, -0.007,  0.000,  0.011,  0.000,n
68603, -0.423,  0.464,  0.687,  0.581, -0.073, -0.004,  0.000,  0.009,  0.000,n
68604, -0.415,  0.468,  0.595,  0.475, -0.041, -0.003,  0.000,  0.008,  0.000,n
68605, -0.434,  0.443,  0.506,  0.368, -0.019,  0.002,  0.001,  0.009,  0.000,n
68606, -0.469,  0.380,  0.434,  0.302, -0.019,  0.006,  0.001,  0.011,  0.000,n
68607, -0.434,  0.379,  0.372,  0.251, -0.018,  0.019,  0.004,  0.013,  0.000,n
68608, -0.384,  0.356,  0.314,  0.204, -0.012,  0.093,  0.135,  0.069,  0.078,n
68609, -0.325,  0.306,  0.262,  0.165, -0.001,  0.186,  0.334,  0.161,  0.278,n
68612, -0.255,  0.222,  0.211,  0.121, -0.000,  0.270,  0.478,  0.244,  0.424,n
68614, -0.189,  0.140,  0.159,  0.072, -0.000,  0.339,  0.559,  0.313,  0.508,n
68615, -0.120,  0.037,  0.111,  0.025,  0.001,  0.361,  0.556,  0.386,  0.593,n
68616, -0.093,  0.025,  0.086,  0.014,  0.001,  0.543,  1.247,  0.511,  0.881,n
68617, -0.077,  0.021,  0.067,  0.007,  0.001,  0.775,  2.331,  0.690,  1.498,n
68618, -0.056,  0.011,  0.053,  0.004,  0.001,  1.036,  3.608,  0.909,  2.375,n
68619, -0.041,  0.008,  0.045,  0.003,  0.009,  1.312,  4.921,  1.154,  3.424,n
68620, -0.028,  0.004,  0.038,  0.002,  0.025,  1.386,  4.860,  1.464,  5.085,n
68621, -0.019,  0.003,  0.034,  0.002,  0.025,  1.393,  4.841,  1.764,  6.438,n
68622, -0.011,  0.002,  0.028,  0.001,  0.025,  1.309,  5.261,  2.071,  7.671,n
68623, -0.005,  0.001,  0.023,  0.000,  0.024,  1.219,  5.701,  2.354,  8.462,n
68624, -0.006,  0.001,  0.021,  0.000,  0.008,  1.206,  5.740,  2.646,  9.170,n
68625, -0.009,  0.001,  0.020,  0.000, -0.021,  1.186,  5.799,  2.673,  9.039,n
68626, -0.012,  0.001,  0.018,  0.000, -0.021,  1.097,  6.220,  2.696,  8.924,n
68627, -0.013,  0.001,  0.017,  0.000, -0.021,  1.049,  6.390,  2.716,  8.823,n
68628, -0.012,  0.001,  0.015,  0.000, -0.021,  1.018,  6.483,  2.735,  8.726,n
68629, -0.011,  0.001,  0.014,  0.000, -0.020,  0.986,  6.579,  2.751,  8.640,n
68630, -0.009,  0.001,  0.012,  0.000, -0.013,  0.960,  6.651,  2.766,  8.562,n
68631, -0.007,  0.000,  0.011,  0.000, -0.000,  0.937,  6.710,  2.779,  8.492,n
68632, -0.004,  0.000,  0.009,  0.000,  0.004,  0.932,  6.721,  2.782,  8.476,n
68633, -0.003,  0.000,  0.008,  0.000,  0.083,  0.924,  6.737,  2.783,  8.469,n
68634,  0.002,  0.001,  0.009,  0.000,  0.099,  0.920,  6.743,  2.781,  8.478,n
68637,  0.006,  0.001,  0.011,  0.000,  0.305,  0.908,  6.762,  2.779,  8.490,n
68644,  0.019,  0.004,  0.013,  0.000,  1.825,  0.835,  6.755,  2.723,  8.728,n
68645,  0.093,  0.135,  0.069,  0.078,  2.332,  0.742,  6.682,  2.631,  9.019,n
68646,  0.186,  0.334,  0.161,  0.278,  2.098,  0.658,  6.621,  2.548,  9.286,n
68647,  0.270,  0.478,  0.244,  0.424,  1.739,  0.588,  6.586,  2.479,  9.523,n
68653,  0.339,  0.559,  0.313,  0.508,  0.542,  0.567,  6.600,  2.407,  9.754,n
68654,  0.361,  0.556,  0.386,  0.593,  4.550,  0.384,  5.918,  2.282,  9.957,n
68655,  0.543,  1.247,  0.511,  0.881,  5.801,  0.152,  4.645,  2.103,  9.936,n
68656,  0.775,  2.331,  0.690,  1.498,  6.516, -0.108,  2.888,  1.885,  9.601,n
68657,  1.036,  3.608,  0.909,  2.375,  6.907, -0.385,  0.759,  1.638,  8.927,n
68662,  1.312,  4.921,  1.154,  3.424,  1.890, -0.460,  0.543,  1.328,  7.381,n
68663,  1.386,  4.860,  1.464,  5.085,  0.207, -0.468,  0.534,  1.027,  5.755,n
68664,  1.393,  4.841,  1.764,  6.438, -2.088, -0.385,  0.426,  0.720,  3.857,n
68665,  1.309,  5.261,  2.071,  7.671, -2.216, -0.296,  0.285,  0.437,  2.104,n
68666,  1.219,  5.701,  2.354,  8.462, -0.335, -0.283,  0.287,  0.145,  0.051,n
68687,  1.206,  5.740,  2.646,  9.170, -0.503, -0.264,  0.288,  0.119,  0.038,n
68688,  1.186,  5.799,  2.673,  9.039, -2.243, -0.174,  0.119,  0.096,  0.029,u
68689,  1.097,  6.220,  2.696,  8.924, -1.222, -0.125,  0.072,  0.077,  0.022,u
68690,  1.049,  6.390,  2.716,  8.823, -0.799, -0.092,  0.053,  0.059,  0.014,n
68691,  1.018,  6.483,  2.735,  8.726, -0.826, -0.059,  0.030,  0.043,  0.009,n
68692,  0.986,  6.579,  2.751,  8.640, -0.671, -0.033,  0.014,  0.029,  0.004,n
68693,  0.960,  6.651,  2.766,  8.562, -0.573, -0.011,  0.001,  0.017,  0.000,n
68694,  0.937,  6.710,  2.779,  8.492, -0.122, -0.007,  0.001,  0.015,  0.000,n
68695,  0.932,  6.721,  2.782,  8.476, -0.119, -0.003,  0.000,  0.013,  0.000,n
68701,  0.924,  6.737,  2.783,  8.469,  0.004, -0.003,  0.000,  0.013,  0.000,n
68702,  0.920,  6.743,  2.781,  8.478,  0.009, -0.004,  0.000,  0.013,  0.000,n
68703,  0.908,  6.762,  2.779,  8.490,  0.006, -0.004,  0.000,  0.013,  0.000,n
68704,  0.835,  6.755,  2.723,  8.728,  0.004, -0.004,  0.000,  0.013,  0.000,n
68705,  0.742,  6.682,  2.631,  9.019,  0.002, -0.005,  0.000,  0.013,  0.000,n
68710,  0.658,  6.621,  2.548,  9.286, -0.008, -0.004,  0.000,  0.013,  0.000,n
68711,  0.588,  6.586,  2.479,  9.523, -0.008, -0.004,  0.000,  0.013,  0.000,n
68712,  0.567,  6.600,  2.407,  9.754, -0.006, -0.004,  0.000,  0.013,  0.000,n
68713,  0.384,  5.918,  2.282,  9.957,  0.000, -0.004,  0.000,  0.013,  0.000,n
68714,  0.152,  4.645,  2.103,  9.936,  0.002, -0.005,  0.000,  0.013,  0.000,n
68724, -0.108,  2.888,  1.885,  9.601, -0.000, -0.005,  0.000,  0.013,  0.000,n
68731, -0.385,  0.759,  1.638,  8.927,  0.002, -0.005,  0.000,  0.013,  0.000,n
68732, -0.460,  0.543,  1.328,  7.381,  0.001, -0.005,  0.000,  0.013,  0.000,n
68733, -0.468,  0.534,  1.027,  5.755,  0.001, -0.005,  0.000,  0.013,  0.000,n
68734, -0.385,  0.426,  0.720,  3.857,  0.003, -0.005,  0.000,  0.013,  0.000,n
68759, -0.296,  0.285,  0.437,  2.104, -0.021,  0.007,  0.004,  0.019,  0.001,n
68760, -0.283,  0.287,  0.145,  0.051, -0.016,  0.021,  0.008,  0.027,  0.003,n
68761, -0.264,  0.288,  0.119,  0.038,  0.010,  0.033,  0.011,  0.034,  0.004,n
68762, -0.174,  0.119,  0.096,  0.029,  0.000,  0.041,  0.012,  0.041,  0.006,n
68763, -0.125,  0.072,  0.077,  0.022,  0.019,  0.048,  0.013,  0.049,  0.007,n
68764, -0.092,  0.053,  0.059,  0.014,  0.014,  0.049,  0.013,  0.056,  0.008,n
68770, -0.059,  0.030,  0.043,  0.009, -0.022,  0.047,  0.013,  0.066,  0.010,n
68771, -0.033,  0.014,  0.029,  0.004, -0.025,  0.042,  0.015,  0.076,  0.011,n
68772, -0.011,  0.001,  0.017,  0.000, -0.018,  0.040,  0.015,  0.087,  0.013,n
68773, -0.007,  0.001,  0.015,  0.000, -0.022,  0.041,  0.015,  0.098,  0.014,n
68774, -0.003,  0.000,  0.013,  0.000, -0.011,  0.041,  0.015,  0.109,  0.015,n
68780, -0.003,  0.000,  0.013,  0.000,  0.002,  0.039,  0.015,  0.119,  0.016,n
68790, -0.004,  0.000,  0.013,  0.000, -0.003,  0.040,  0.015,  0.127,  0.016,n
68795, -0.004,  0.000,  0.013,  0.000, -0.001,  0.040,  0.015,  0.137,  0.015,n
68796, -0.004,  0.000,  0.013,  0.000, -0.006,  0.038,  0.015,  0.147,  0.015,n
68797, -0.005,  0.000,  0.013,  0.000, -0.004,  0.042,  0.015,  0.158,  0.015,n
68798, -0.004,  0.000,  0.013,  0.000, -0.005,  0.045,  0.015,  0.170,  0.015,n
68799, -0.004,  0.000,  0.013,  0.000, -0.006,  0.051,  0.016,  0.180,  0.014,n
68800, -0.004,  0.000,  0.013,  0.000, -0.005,  0.050,  0.016,  0.191,  0.013,n
68801, -0.004,  0.000,  0.013,  0.000, -0.004,  0.053,  0.016,  0.201,  0.011,n
68802, -0.005,  0.000,  0.013,  0.000, -0.003,  0.044,  0.018,  0.211,  0.010,n
68803, -0.005,  0.000,  0.013,  0.000, -0.002,  0.035,  0.022,  0.221,  0.008,n
68805, -0.005,  0.000,  0.013,  0.000, -0.000,  0.028,  0.023,  0.226,  0.006,n
68808, -0.005,  0.000,  0.013,  0.000, -0.000,  0.021,  0.025,  0.230,  0.005,n
68809, -0.005,  0.000,  0.013,  0.000,  0.001,  0.012,  0.027,  0.234,  0.003,n
68833, -0.005,  0.000,  0.013,  0.000,  0.296, -0.004,  0.024,  0.228,  0.005,n
68834,  0.007,  0.004,  0.019,  0.001,  0.333, -0.019,  0.019,  0.220,  0.006,n
68835,  0.021,  0.008,  0.027,  0.003,  0.303, -0.032,  0.015,  0.212,  0.008,n
68836,  0.033,  0.011,  0.034,  0.004,  0.207, -0.042,  0.012,  0.205,  0.009,n
68837,  0.041,  0.012,  0.041,  0.006,  0.181, -0.050,  0.010,  0.198,  0.011,n
68838,  0.048,  0.013,  0.049,  0.007,  0.032, -0.052,  0.010,  0.190,  0.012,n
68839,  0.049,  0.013,  0.056,  0.008, -0.055, -0.049,  0.010,  0.180,  0.013,n
68840,  0.047,  0.013,  0.066,  0.010, -0.165, -0.042,  0.010,  0.169,  0.013,n
68841,  0.042,  0.015,  0.076,  0.011, -0.050, -0.039,  0.010,  0.158,  0.013,n
68842,  0.040,  0.015,  0.087,  0.013, -0.004, -0.039,  0.010,  0.147,  0.013,n
68843,  0.041,  0.015,  0.098,  0.014, -0.025, -0.037,  0.010,  0.137,  0.013,n
68844,  0.041,  0.015,  0.109,  0.015, -0.044, -0.032,  0.011,  0.129,  0.013,n
68845,  0.039,  0.015,  0.119,  0.016,  0.019, -0.030,  0.011,  0.122,  0.013,n
68846,  0.040,  0.015,  0.127,  0.016,  0.022, -0.029,  0.011,  0.114,  0.012,n
68847,  0.040,  0.015,  0.137,  0.015, -0.063, -0.023,  0.012,  0.107,  0.011,n
68848,  0.038,  0.015,  0.147,  0.015,  0.083, -0.023,  0.012,  0.099,  0.010,n
68849,  0.042,  0.015,  0.158,  0.015,  0.087, -0.025,  0.011,  0.090,  0.008,n
68850,  0.045,  0.015,  0.170,  0.015,  0.126, -0.026,  0.011,  0.085,  0.007,n
68851,  0.051,  0.016,  0.180,  0.014, -0.024, -0.020,  0.012,  0.079,  0.006,n
68852,  0.050,  0.016,  0.191,  0.013,  0.070, -0.020,  0.012,  0.074,  0.004,n
68857,  0.053,  0.016,  0.201,  0.011, -0.218, -0.016,  0.011,  0.071,  0.003,n
68858,  0.044,  0.018,  0.211,  0.010, -0.246,  0.018,  0.023,  0.076,  0.006,n
68859,  0.035,  0.022,  0.221,  0.008, -0.159,  0.046,  0.032,  0.090,  0.013,n
68860,  0.028,  0.023,  0.226,  0.006, -0.171,  0.075,  0.040,  0.104,  0.018,n
68861,  0.021,  0.025,  0.230,  0.005, -0.239,  0.103,  0.041,  0.118,  0.023,n
68862,  0.012,  0.027,  0.234,  0.003, -0.092,  0.125,  0.044,  0.135,  0.027,n
68863, -0.004,  0.024,  0.228,  0.005, -0.048,  0.123,  0.045,  0.163,  0.040,n
68864, -0.019,  0.019,  0.220,  0.006, -0.035,  0.116,  0.048,  0.187,  0.048,n
68865, -0.032,  0.015,  0.212,  0.008, -0.024,  0.114,  0.049,  0.210,  0.053,n
68866, -0.042,  0.012,  0.205,  0.009, -0.022,  0.119,  0.048,  0.231,  0.056,n
68867, -0.050,  0.010,  0.198,  0.011, -0.012,  0.123,  0.047,  0.251,  0.057,n
68868, -0.052,  0.010,  0.190,  0.012, -0.001,  0.096,  0.072,  0.270,  0.057,n
68869, -0.049,  0.010,  0.180,  0.013,  0.016,  0.076,  0.085,  0.285,  0.055,n
68870, -0.042,  0.010,  0.169,  0.013,  0.018,  0.059,  0.095,  0.297,  0.052,n
68871, -0.039,  0.010,  0.158,  0.013,  0.020,  0.039,  0.107,  0.308,  0.048,n
68872, -0.039,  0.010,  0.147,  0.013,  0.022,  0.018,  0.118,  0.318,  0.045,n
68873, -0.037,  0.010,  0.137,  0.013,  0.064, -0.003,  0.127,  0.327,  0.042,n
68874, -0.032,  0.011,  0.129,  0.013,  0.064, -0.010,  0.128,  0.327,  0.042,n
68875, -0.030,  0.011,  0.122,  0.013,  0.056, -0.016,  0.128,  0.328,  0.041,n
68876, -0.029,  0.011,  0.114,  0.012,  0.092, -0.022,  0.127,  0.326,  0.042,n
68877, -0.023,  0.012,  0.107,  0.011,  0.093, -0.027,  0.127,  0.324,  0.043,n
68878, -0.023,  0.012,  0.099,  0.010,  0.014, -0.028,  0.127,  0.321,  0.045,n
68879, -0.025,  0.011,  0.090,  0.008,  0.122, -0.033,  0.126,  0.316,  0.048,n
68880, -0.026,  0.011,  0.085,  0.007,  0.121, -0.039,  0.125,  0.311,  0.050,n
68881, -0.020,  0.012,  0.079,  0.006,  0.060, -0.041,  0.124,  0.306,  0.053,n
68887, -0.020,  0.012,  0.074,  0.004, -0.104, -0.037,  0.124,  0.300,  0.056,n
68888, -0.016,  0.011,  0.071,  0.003,  0.597, -0.061,  0.107,  0.285,  0.059,n
68889,  0.018,  0.023,  0.076,  0.006,  0.529, -0.081,  0.092,  0.265,  0.060,n
68890,  0.046,  0.032,  0.090,  0.013,  0.554, -0.103,  0.075,  0.248,  0.061,n
68891,  0.075,  0.040,  0.104,  0.018,  0.462, -0.120,  0.062,  0.231,  0.061,n
68892,  0.103,  0.041,  0.118,  0.023,  0.458, -0.138,  0.049,  0.213,  0.060,n
68893,  0.125,  0.044,  0.135,  0.027, -0.091, -0.133,  0.050,  0.185,  0.050,n
68894,  0.123,  0.045,  0.163,  0.040, -0.213, -0.092,  0.085,  0.167,  0.041,n
68895,  0.116,  0.048,  0.187,  0.048, -0.065, -0.073,  0.096,  0.153,  0.034,n
68896,  0.114,  0.049,  0.210,  0.053,  0.090, -0.067,  0.098,  0.141,  0.028,n
68897,  0.119,  0.048,  0.231,  0.056,  0.087, -0.069,  0.098,  0.134,  0.024,n
68898,  0.123,  0.047,  0.251,  0.057, -0.665, -0.072,  0.101,  0.123,  0.018,n
68899,  0.096,  0.072,  0.270,  0.057, -0.479, -0.067,  0.098,  0.116,  0.015,n
68900,  0.076,  0.085,  0.285,  0.055, -0.413, -0.059,  0.093,  0.111,  0.014,n
68901,  0.059,  0.095,  0.297,  0.052, -0.489, -0.049,  0.087,  0.107,  0.013,n
68902,  0.039,  0.107,  0.308,  0.048, -0.491, -0.037,  0.080,  0.102,  0.012,n
68903,  0.018,  0.118,  0.318,  0.045, -0.476, -0.024,  0.072,  0.098,  0.011,n
68904, -0.003,  0.127,  0.327,  0.042, -0.096, -0.021,  0.072,  0.100,  0.011,n
68905, -0.010,  0.128,  0.327,  0.042, -0.091, -0.020,  0.071,  0.102,  0.011,n
68906, -0.016,  0.128,  0.328,  0.041, -0.070, -0.019,  0.071,  0.104,  0.010,n
68907, -0.022,  0.127,  0.326,  0.042, -0.021, -0.018,  0.071,  0.107,  0.010,n
68908, -0.027,  0.127,  0.324,  0.043, -0.015, -0.017,  0.071,  0.109,  0.010,n
68909, -0.028,  0.127,  0.321,  0.045, -0.012, -0.018,  0.071,  0.112,  0.009,n
68910, -0.033,  0.126,  0.316,  0.048, -0.009, -0.018,  0.071,  0.115,  0.009,n
68911, -0.039,  0.125,  0.311,  0.050, -0.007, -0.019,  0.071,  0.117,  0.009,n
68912, -0.041,  0.124,  0.306,  0.053,  0.001, -0.019,  0.071,  0.120,  0.008,n
68913, -0.037,  0.124,  0.300,  0.056,  0.005, -0.019,  0.071,  0.123,  0.008,n
68914, -0.061,  0.107,  0.285,  0.059,  0.012, -0.015,  0.072,  0.127,  0.007,n
68915, -0.081,  0.092,  0.265,  0.060,  0.018, -0.007,  0.074,  0.135,  0.007,n
68916, -0.103,  0.075,  0.248,  0.061,  0.020,  0.002,  0.077,  0.144,  0.006,n
68917, -0.120,  0.062,  0.231,  0.061,  0.017,  0.009,  0.078,  0.153,  0.006,n
68918, -0.138,  0.049,  0.213,  0.060,  0.038,  0.012,  0.079,  0.160,  0.005,n
68925, -0.133,  0.050,  0.185,  0.050,  0.815, -0.015,  0.052,  0.162,  0.006,n
68926, -0.092,  0.085,  0.167,  0.041,  0.412, -0.038,  0.044,  0.161,  0.005,n
68927, -0.073,  0.096,  0.153,  0.034,  0.235, -0.057,  0.043,  0.159,  0.005,n
68928, -0.067,  0.098,  0.141,  0.028,  0.032, -0.067,  0.043,  0.154,  0.004,n
68930, -0.069,  0.098,  0.134,  0.024, -0.727, -0.046,  0.025,  0.154,  0.004,n
68931, -0.072,  0.101,  0.123,  0.018, -0.365, -0.038,  0.021,  0.154,  0.004,n
68932, -0.067,  0.098,  0.116,  0.015, -0.202, -0.036,  0.021,  0.155,  0.004,n
68933, -0.059,  0.093,  0.111,  0.014, -0.260, -0.028,  0.019,  0.152,  0.004,n
68934, -0.049,  0.087,  0.107,  0.013, -0.183, -0.020,  0.018,  0.148,  0.004,n
68935, -0.037,  0.080,  0.102,  0.012, -0.138, -0.013,  0.017,  0.144,  0.005,n
68936, -0.024,  0.072,  0.098,  0.011, -0.038, -0.011,  0.018,  0.142,  0.005,n
68937, -0.021,  0.072,  0.100,  0.011, -0.052, -0.009,  0.017,  0.141,  0.005,n
68938, -0.020,  0.071,  0.102,  0.011, -0.041, -0.007,  0.017,  0.140,  0.005,n
68939, -0.019,  0.071,  0.104,  0.010,  0.004, -0.008,  0.017,  0.140,  0.005,n
68940, -0.018,  0.071,  0.107,  0.010, -0.007, -0.008,  0.017,  0.139,  0.005,n
68941, -0.017,  0.071,  0.109,  0.010, -0.022, -0.008,  0.017,  0.139,  0.005,n
68942, -0.018,  0.071,  0.112,  0.009, -0.023, -0.008,  0.017,  0.139,  0.005,n
68943, -0.018,  0.071,  0.115,  0.009, -0.036, -0.006,  0.017,  0.139,  0.005,n
68944, -0.019,  0.071,  0.117,  0.009, -0.001, -0.006,  0.017,  0.140,  0.005,n
